0.016095f,-0.124807f,-0.024519f,
0.015446f,-0.129705f,-0.024896f,
0.020234f,-0.071244f,-0.018727f,
0.020234f,-0.071244f,-0.018727f,
0.021947f,-0.047084f,-0.015592f,
0.021947f,-0.047084f,-0.015592f,
0.020618f,-0.069349f,-0.017116f,
0.020618f,-0.069349f,-0.017116f,
0.021134f,-0.062446f,-0.015905f,
0.021134f,-0.062446f,-0.015905f,
0.014866f,-0.063729f,-0.028953f,
0.014866f,-0.063729f,-0.028953f,
0.021822f,-0.05119f,-0.015092f,
0.021822f,-0.05119f,-0.015092f,
0.015738f,-0.052779f,-0.028178f,
0.015738f,-0.052779f,-0.028178f,
0.006116f,-0.052263f,-0.033686f,
0.000074f,-0.052115f,-0.034418f,
0.000074f,-0.052115f,-0.034418f,
0.021942f,-0.052508f,-0.012479f,
0.021883f,-0.05343f,-0.011044f,
0.021883f,-0.05343f,-0.011044f,
0.020937f,-0.054022f,-0.007855f,
0.019337f,-0.054583f,-0.006634f,
0.016408f,-0.054582f,-0.005493f,
0.013685f,-0.054883f,-0.004771f,
0.011411f,-0.055179f,-0.004269f,
0.007993f,-0.056434f,-0.003784f,
0.01769f,-0.044429f,-0.02587f,
0.01769f,-0.044429f,-0.02587f,
0.015051f,-0.068295f,-0.028766f,
0.015051f,-0.068295f,-0.028766f,
0.005734f,-0.060117f,-0.033885f,
0.000074f,-0.059876f,-0.034535f,
0.000074f,-0.059876f,-0.034535f,
0.021363f,-0.06174f,-0.013114f,
0.021322f,-0.061741f,-0.011733f,
0.021322f,-0.061741f,-0.011733f,
0.020358f,-0.0621f,-0.008522f,
0.018688f,-0.062386f,-0.007216f,
0.016006f,-0.062439f,-0.006205f,
0.021302f,-0.043771f,-0.018716f,
0.021302f,-0.043771f,-0.018716f,
0.019733f,-0.042869f,-0.022581f,
0.019733f,-0.042869f,-0.022581f,
0.019059f,-0.072935f,-0.022404f,
0.019059f,-0.072935f,-0.022404f,
0.017409f,-0.072205f,-0.0256f,
0.017409f,-0.072205f,-0.0256f,
0.027237f,0.013505f,-0.009325f,
0.027237f,0.013505f,-0.009325f,
0.027237f,0.013505f,-0.009325f,
0.027237f,0.013505f,-0.009325f,
0.026525f,0.010848f,-0.008548f,
0.026525f,0.010848f,-0.008548f,
0.025436f,0.003222f,-0.007455f,
0.025436f,0.003222f,-0.007455f,
0.025098f,-0.002116f,-0.007281f,
0.025098f,-0.002116f,-0.007281f,
0.02468f,-0.009495f,-0.007436f,
0.02468f,-0.009495f,-0.007436f,
0.024458f,-0.013391f,-0.007614f,
0.024458f,-0.013391f,-0.007614f,
0.024199f,-0.017869f,-0.007866f,
0.024199f,-0.017869f,-0.007866f,
0.02393f,-0.022347f,-0.008148f,
0.02393f,-0.022347f,-0.008148f,
0.023673f,-0.026418f,-0.008423f,
0.023673f,-0.026418f,-0.008423f,
0.023142f,-0.034142f,-0.009023f,
0.023142f,-0.034142f,-0.009023f,
0.022909f,-0.037762f,-0.009254f,
0.022909f,-0.037762f,-0.009254f,
0.022516f,-0.043522f,-0.009672f,
0.022516f,-0.043522f,-0.009672f,
0.022101f,-0.049629f,-0.010222f,
0.022101f,-0.049629f,-0.010222f,
0.021842f,-0.053477f,-0.01054f,
0.021842f,-0.053477f,-0.01054f,
0.021554f,-0.057716f,-0.010885f,
0.021554f,-0.057716f,-0.010885f,
0.021279f,-0.061776f,-0.011212f,
0.021279f,-0.061776f,-0.011212f,
0.021f,-0.065834f,-0.011555f,
0.021f,-0.065834f,-0.011555f,
0.020426f,-0.074236f,-0.012252f,
0.020426f,-0.074236f,-0.012252f,
0.019934f,-0.081459f,-0.012847f,
0.019934f,-0.081459f,-0.012847f,
0.019426f,-0.08899f,-0.013471f,
0.019426f,-0.08899f,-0.013471f,
0.018916f,-0.096598f,-0.014102f,
0.018916f,-0.096598f,-0.014102f,
0.018373f,-0.104719f,-0.014767f,
0.018373f,-0.104719f,-0.014767f,
0.017822f,-0.113132f,-0.015477f,
0.017822f,-0.113132f,-0.015477f,
0.017277f,-0.121613f,-0.016179f,
0.017277f,-0.121613f,-0.016179f,
0.017035f,-0.125651f,-0.016512f,
0.017035f,-0.125651f,-0.016512f,
0.016239f,-0.131153f,-0.016964f,
0.016239f,-0.131153f,-0.016964f,
0.014583f,-0.135496f,-0.017322f,
0.014583f,-0.135496f,-0.017322f,
0.026463f,0.012238f,-0.013f,
0.026463f,0.012238f,-0.013f,
0.009294f,-0.034272f,-0.032101f,
0.006147f,-0.035107f,-0.033139f,
0.000075f,-0.035258f,-0.033892f,
0.000075f,-0.035258f,-0.033892f,
0.010816f,-0.028663f,-0.031257f,
0.013287f,-0.031286f,-0.029911f,
0.015447f,-0.034446f,-0.028265f,
0.010018f,-0.038724f,-0.031929f,
0.009666f,-0.042262f,-0.03214f,
0.01671f,-0.029526f,-0.026942f,
0.014621f,-0.028672f,-0.028838f,
