0.000027f,0.006857f,-0.999977f,
0.000027f,0.006857f,-0.999977f,
0.997844f,-0.065003f,-0.009006f,
0.997229f,-0.069223f,0.027245f,
0.172885f,-0.093045f,0.980537f,
0.767286f,-0.108002f,0.632145f,
0.474637f,-0.108317f,0.873491f,
0.312f,-0.103093f,0.944472f,
0.958807f,-0.025169f,-0.282941f,
0.060541f,-0.847771f,-0.526895f,
0.877873f,0.009625f,-0.478798f,
0.294672f,-0.955358f,-0.021426f,
0.929238f,-0.032203f,-0.368077f,
0.221439f,0.949818f,-0.220931f,
0.832947f,-0.018476f,-0.553045f,
0.440179f,0.870278f,0.22104f,
0.953183f,-0.198558f,0.228072f,
0.211754f,0.928289f,-0.30568f,
0.195999f,-0.298479f,-0.934074f,
0.195999f,-0.298479f,-0.934074f,
0.956268f,-0.158209f,0.246009f,
0.204395f,-0.254001f,-0.945361f,
0.956644f,-0.064545f,0.284018f,
0.277566f,-0.082918f,-0.957122f,
0.953203f,-0.055498f,0.297193f,
0.293601f,-0.032606f,-0.955372f,
0.958773f,-0.060093f,0.277745f,
0.306406f,0.019777f,-0.951695f,
0.967961f,-0.061984f,0.243329f,
0.311834f,0.030956f,-0.949632f,
0.976003f,-0.065677f,0.207618f,
0.316822f,0.03814f,-0.947718f,
0.980052f,-0.070994f,0.185626f,
0.320605f,0.042132f,-0.946275f,
0.981634f,-0.075683f,0.175121f,
0.325373f,0.046578f,-0.944438f,
0.985634f,-0.076096f,0.150781f,
0.333296f,0.04511f,-0.941742f,
0.985078f,-0.077275f,0.153782f,
0.328367f,0.042179f,-0.943608f,
0.984955f,-0.078703f,0.153848f,
0.325191f,0.057913f,-0.943873f,
0.986009f,-0.07928f,0.146631f,
0.331308f,0.056998f,-0.9418f,
0.985776f,-0.079622f,0.14801f,
0.334432f,0.054516f,-0.940842f,
0.984727f,-0.080466f,0.154393f,
0.33651f,0.053393f,-0.940165f,
0.983516f,-0.081272f,0.161527f,
0.341301f,0.054434f,-0.938376f,
0.983371f,-0.082402f,0.161839f,
0.351222f,0.058167f,-0.934483f,
0.981194f,-0.081661f,0.174899f,
0.362288f,0.048511f,-0.930803f,
0.978053f,-0.082849f,0.191176f,
0.367095f,0.052086f,-0.928724f,
0.975573f,-0.083587f,0.203151f,
0.377702f,0.051483f,-0.924495f,
0.971848f,-0.085034f,0.219727f,
0.388423f,0.050126f,-0.920117f,
0.967376f,-0.085206f,0.238588f,
0.402297f,0.050785f,-0.9141f,
0.967259f,-0.082509f,0.240006f,
0.416473f,0.047907f,-0.907885f,
0.959301f,-0.086849f,0.268699f,
0.435612f,0.047889f,-0.89886f,
0.942669f,-0.107117f,0.31607f,
0.449929f,0.040128f,-0.892162f,
0.912589f,-0.23754f,0.332801f,
0.471893f,-0.042122f,-0.880649f,
0.835671f,-0.469947f,0.284259f,
0.451955f,-0.171304f,-0.875438f,
0.938742f,-0.291325f,-0.184103f,
0.197256f,0.904084f,-0.379107f,
0.368422f,0.029004f,-0.929206f,
0.241841f,0.034057f,-0.969718f,
0.000029f,0.044488f,-0.99901f,
0.000029f,0.044488f,-0.99901f,
0.113897f,0.294191f,-0.948936f,
0.579339f,0.024198f,-0.814728f,
0.671417f,0.009141f,-0.741023f,
0.420311f,0.013497f,-0.90728f,
0.428048f,0.02251f,-0.903475f,
0.721638f,0.0105f,-0.692191f,
0.625521f,0.023327f,-0.779859f,
0.103829f,0.228238f,-0.968053f,
0.877068f,-0.012017f,-0.480217f,
0.805884f,0.000244f,-0.592073f,
0.071294f,0.169133f,-0.983011f,
0.039901f,0.091146f,-0.995038f,
0.896492f,0.035747f,-0.441615f,
0.851939f,0.021078f,-0.523217f,
0.839116f,-0.059898f,-0.540644f,
0.816f,-0.260705f,-0.515923f,
0.802522f,-0.339458f,-0.490639f,
0.16075f,0.887023f,-0.432838f,
0.093919f,0.048512f,0.994397f,
-1.0f,-0.000394f,-4.0348e-6f,
0.060752f,0.033506f,0.99759f,
-0.707148f,0.70608f,-0.037308f,
-0.012381f,0.050285f,0.998658f,
-0.128086f,0.990383f,-0.0523f,
0.01233f,0.050284f,0.998659f,
0.128161f,0.990374f,-0.052294f,
0.017187f,0.082388f,0.996452f,
-0.141964f,-0.988494f,0.052201f,
-0.017234f,0.08239f,0.996451f,
0.141879f,-0.988506f,0.052209f,
0.049953f,0.080468f,0.995505f,
-0.496174f,-0.867016f,0.045773f,
0.108903f,0.077327f,0.99104f,
-0.863998f,-0.502796f,0.026532f,
0.076416f,0.038071f,0.996349f,
-0.865799f,0.499695f,-0.026412f,
0.103176f,0.065923f,0.992476f,
-0.965376f,-0.260501f,0.013733f,
0.124413f,0.083485f,0.988712f,
0.175188f,0.066502f,0.982286f,
0.087244f,0.042277f,0.99529f,
-0.965803f,0.258913f,-0.013698f,
0.113547f,0.047279f,0.992407f,
0.167718f,0.03231f,0.985305f,
0.009675f,0.042112f,0.999066f,
-0.258869f,0.964568f,-0.050942f,
0.026415f,0.031583f,0.999152f,
-0.008993f,-0.511296f,0.859357f,
0.036291f,0.101875f,0.994135f,
0.00408f,0.992161f,-0.124896f,
0.033716f,0.093553f,0.995043f,
0.02781f,0.082044f,0.996241f,
