0.02841f,0.000098f,0.020027f,
0.027048f,0.001881f,0.019227f,
0.025814f,0.00061f,0.019353f,
0.027266f,-0.010894f,0.024565f,
0.026689f,-0.009945f,0.023473f,
0.026079f,-0.008924f,0.022568f,
0.025443f,-0.007845f,0.021839f,
0.024115f,-0.00556f,0.020872f,
0.028168f,-0.010147f,0.024544f,
0.027608f,-0.009207f,0.023446f,
0.027019f,-0.00819f,0.022537f,
0.026407f,-0.007114f,0.021804f,
0.025132f,-0.004829f,0.020834f,
0.029132f,-0.009474f,0.024506f,
0.028583f,-0.00854f,0.023399f,
0.02801f,-0.007523f,0.022482f,
0.027418f,-0.006442f,0.021743f,
0.026186f,-0.004146f,0.020766f,
0.030159f,-0.008891f,0.024452f,
0.029617f,-0.007958f,0.02333f,
0.029055f,-0.006933f,0.022402f,
0.028478f,-0.005842f,0.021655f,
0.02728f,-0.00352f,0.020668f,
0.031254f,-0.00841f,0.024381f,
0.030715f,-0.00747f,0.02324f,
0.03016f,-0.006432f,0.022296f,
0.029593f,-0.005322f,0.021537f,
0.028423f,-0.002958f,0.020536f,
0.027819f,-0.00172f,0.020284f,
0.032393f,-0.008053f,0.024296f,
0.031852f,-0.007099f,0.023129f,
0.031302f,-0.006039f,0.022165f,
0.030741f,-0.004902f,0.021391f,
0.029591f,-0.002478f,0.020372f,
0.028999f,-0.00121f,0.020116f,
0.033531f,-0.007834f,0.024199f,
0.032986f,-0.006861f,0.023003f,
0.032437f,-0.005771f,0.022015f,
0.03188f,-0.004599f,0.021223f,
0.030744f,-0.002099f,0.020182f,
0.03016f,-0.000791f,0.019921f,
0.034706f,-0.007749f,0.024087f,
0.034157f,-0.006747f,0.022856f,
0.033606f,-0.005619f,0.021839f,
0.033053f,-0.004402f,0.021024f,
0.031926f,-0.001805f,0.019957f,
0.031349f,-0.000448f,0.01969f,
0.035875f,-0.007803f,0.023963f,
0.035319f,-0.006766f,0.022691f,
0.034767f,-0.005591f,0.021641f,
0.034215f,-0.004321f,0.020801f,
0.033096f,-0.001608f,0.019702f,
0.032524f,-0.000193f,0.019429f,
0.037028f,-0.007994f,0.023826f,
0.036466f,-0.006914f,0.022509f,
0.035914f,-0.005685f,0.021422f,
0.035364f,-0.004352f,0.020552f,
0.034253f,-0.001507f,0.019417f,
0.033684f,-0.000024f,0.019135f,
0.038147f,-0.008315f,0.023676f,
0.037581f,-0.007186f,0.02231f,
0.037029f,-0.005895f,0.021181f,
0.036483f,-0.004493f,0.020278f,
0.035381f,-0.001498f,0.019102f,
0.034817f,0.000061f,0.018811f,
0.039217f,-0.00876f,0.023511f,
0.038648f,-0.007575f,0.022094f,
0.0381f,-0.006216f,0.020919f,
0.037559f,-0.004737f,0.01998f,
0.036471f,-0.001577f,0.018758f,
0.035913f,0.000066f,0.018455f,
0.040227f,-0.00932f,0.023332f,
0.039659f,-0.008073f,0.021858f,
0.039117f,-0.006639f,0.020635f,
0.038586f,-0.005077f,0.019656f,
0.037517f,-0.001739f,0.018382f,
0.036968f,-4.5367e-6f,0.018067f,
0.041161f,-0.009983f,0.023136f,
0.040596f,-0.00867f,0.021603f,
0.040064f,-0.007156f,0.020329f,
0.039546f,-0.005504f,0.019307f,
0.038505f,-0.001977f,0.017976f,
0.037967f,-0.000146f,0.017646f,
0.04201f,-0.010747f,0.02292f,
0.041453f,-0.00936f,0.021326f,
0.040936f,-0.007761f,0.019997f,
0.040436f,-0.006015f,0.018928f,
0.039431f,-0.002289f,0.017535f,
0.038908f,-0.000356f,0.017188f,
0.042757f,-0.011599f,0.022681f,
0.042212f,-0.010134f,0.021022f,
0.041715f,-0.008446f,0.019635f,
0.041238f,-0.006602f,0.018518f,
0.040278f,-0.002669f,0.017056f,
0.039775f,-0.000631f,0.01669f,
